ASV	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	POND_A-1	POND_A-2	POND_A-3	POND_B-1	POND_B-2	POND_B-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
a542e477828f8f0d2573c8e3683715aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8c81b47250423f85f3e72a261e1c4eaa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2087.0	405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8046cb231a0715e35354d38b4d2b04e	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ff6dcb85cd8bd6b17067a051c75d5e79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2287.0	0.0
345ddd12ce481fad8d3b171a5765d7e6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2262.0	0.0	0.0
9701f5ad8fdbd2cc55c66a12f1d30feb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1bb750f923e39a0aa724620380459f60	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1248.0	87.0	882.0	0.0	0.0	0.0	0.0	0.0	0.0
a80fca1a5e08622087c14abd855bd809	0.0	0.0	0.0	0.0	0.0	0.0	2181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
289cd65011c4875a678db8f83f84c6bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	2138.0	0.0	0.0
a619e12069b5030101391e45d9300863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	955.0	0.0	0.0	0.0	1154.0	0.0	0.0	0.0	0.0
be692b15d3f37f74f68a153ec4b930fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1472.0	630.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca6433dd89d6f6a19b6324bafcdc5f5d	0.0	0.0	0.0	0.0	7.0	0.0	0.0	995.0	1046.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b9bb016c1fab8cf3d738ff875ead7a53	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2027.0
7dcc6ca34649816320c0468c7b40c44e	0.0	0.0	0.0	0.0	0.0	0.0	1994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1148b6b2055dfd06249090154d1f5c4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1959.0	0.0
7da6f147980b6622e7b6a69c2770c618	73.0	154.0	0.0	738.0	0.0	56.0	0.0	0.0	0.0	119.0	301.0	66.0	0.0	73.0	0.0	47.0	52.0	0.0	48.0	79.0	0.0	0.0	75.0	74.0
6a02c574520059465aad42dfceee6f14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1427.0	0.0	467.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d3ab9963eb44224c931d4ab7cc878fe	0.0	0.0	0.0	0.0	0.0	1858.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29994dcf113ba00f147a85fb909a29e6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e7482e7a18dc5b4d94c9c2a458aa8205	0.0	918.0	890.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0
45d0444dbc6ef1fb6de4e4571d9061e3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	0.0	0.0	0.0	592.0	32.0	0.0	30.0	635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c141959dea243f8da3b36afa7ed8ba4c	0.0	0.0	622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1154.0	0.0
1da73a7d016e89bda19aaa345c1870d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1775.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f729642dc3b603d921219d737d110e9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79b8b4b59959dfae1ef6f90b252fe9fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.0	0.0	0.0	0.0	0.0	0.0	0.0
9cebde8ba3b606ecab274e36dd6a0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1631.0	0.0	0.0	0.0	0.0	0.0
7351fa9c7d4939d39aebc20aec1ce026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1641.0	0.0	0.0	0.0	0.0	0.0	0.0
768fef56f5ab46aa05ce50ec00ac65a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1075.0	0.0	559.0	0.0	0.0
1936384cf82783157bd32e6339f01a3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	916.0	0.0	0.0	0.0	0.0	0.0	0.0	707.0	0.0	0.0	0.0	0.0	0.0	0.0
700f877cd32e32a87b5f04e29f546af3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1614.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bbf3271ad0cef5c89125d015090e9d52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1578.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bcbf696b2162d5a2132ea33adea0ba07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	861.0	713.0	0.0	0.0	0.0	0.0	0.0	0.0
4fbb12a0dbd215f2993f8ae612720c0b	0.0	0.0	0.0	728.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	833.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d497c26b8144e87e32a9911ace22e072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1551.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4dce3610d239e12d46bc21dfb81416df	0.0	756.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682.0	11.0	0.0	0.0	0.0	0.0	0.0
bae6e4f7a85d700af9d70bff7296d304	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1523.0
51e7f1a62892a440ace77609d0149fd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1538.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
612c6251cdde8cf68613c50d134caf5f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1534.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fda7f00b0f0ffb43199c8dd2a40923f	0.0	0.0	0.0	1396.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6204d1b6442ed279ea597ed8b6406d66	940.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc6f6039c8349c2a2ec7fa656556420e	39.0	101.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1303.0	25.0	6.0	0.0	0.0
