BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV11	0.0103522657611572	0	0.00539226431261583	4.28954423592493e-05	0.0137203716073525	0.013021875126827	0.00637648690039285	0.00469473399214837	0.0177124097661603	0.00420600674595992	0.00952762703502713	0.000850020205398325	0.000813609353265476	0.00137421505761442	0.000636901505704525	0.00527974957012477	0.00373287244088876	0.00450930225416626
ASV12	1.88299094281357e-05	0.0104994285421013	0	0.0226952636282395	0.0213545843419562	0.0300442372694647	0	0.000140787870583457	6.59483571604748e-06	0.00871174742939222	0.00866246844075568	0.00323460557668994	0	8.04811161121182e-06	0.00639266239017784	0.00405993268962274	0	0.00641969482206035
ASV13	0	0.0058448595437417	0	0	0	2.12586266540661e-05	0	0	0	0.0149730726037342	0.00850104471981195	0	0.0030614560674107	0.00667993263730581	0.00519926031141961	0.00432630836382876	0.0133403417493719	0.000594775351087162
ASV14	0	0	0	0.0029544235924933	0.012948205318086	0	0	1.75984838229322e-05	0.00336072828089779	0	0.0126146289793668	0	0	0.00453108683711226	0.00864073552664976	0.00222102200079362	0.00550398232453718	0.000599624063188416
ASV16	0	0.00339321633086524	0	0	0.000128384274600939	0	0.00728778662530567	0.00920806822796805	0.0116425229731102	0	0	0	0	0.00271221361297838	0.00665278305463638	0	0	0
ASV17	0	0	0.00974832114461073	1.25111706881144e-05	3.72128332176634e-05	0	0.00458522153852983	0	0.00773310436063727	0.0120243913357429	3.0833744449926e-05	0	0	0	0	0.0057316696794674	0	0
ASV18	0	0	0	0.00241108132260947	2.97702665741308e-05	1.54608193847753e-05	0	9.47610667388656e-06	0	0.00614649204245322	0.00864614469369395	0.0143318980533144	0	0	0	0.00234043178578252	8.90900343887533e-06	0
ASV19	4.39364553323165e-05	0	0	0.00759070598748883	0.0114931835392754	0.00459572856212447	0	0.0037038039799648	0	0	1.26962477146754e-05	0	0	3.21924464448473e-05	0	0.00144945108240377	0	0.0140741949925734
ASV20	2.09221215868174e-05	0	0	0.00238427167113494	0	1.15956145385815e-05	0.00228477724727426	0.00262758900771626	0.0117757386545744	0	0	0	0.0049202523887231	0	0	0	3.20724123799512e-05	0.00590573133932742
ASV21	0	0	0	0.00487578194816801	1.30244916261822e-05	7.73040969238767e-06	0.012461827900133	0.00128604304859889	0.00704592247902512	0	3.62749934705012e-06	0	0	0.00813462881103235	0	7.34829446085564e-05	0	2.10110857721008e-05
